ortho	phon	lemme	cgram	genre	nombre	freqlemfilms2	freqlemlivres	freqfilms2	freqlivres	infover	nbhomogr	nbhomoph	islem	nblettres	nbphons	cvcv	p_cvcv	voisorth	voisphon	puorth	puphon	syll	nbsyll	cv-cv	orthrenv	phonrenv	orthosyll	cgramortho	deflem	defobs	old20	pld20	morphoder	nbmorph
acabit	akabi	acabit	NOM	m	s	0.17	1.62	0.17	1.55		1	2	1	6	5	VCVCVC	VCVCV	0	1	4	5	a-ka-bi	3	V-CV-CV	tibaca	ibaka	a-ca-bit	NOM	68	19	2.6	1.95	acabit	1
acabits	akabi	acabit	NOM	m	p	0.17	1.62	0.00	0.07		1	2	0	7	5	VCVCVCC	VCVCV	0	1	0	5	a-ka-bi	3	V-CV-CV	stibaca	ibaka	a-ca-bits	NOM	68	19	2.7	1.95	acabit	1
acacia	akasja	acacia	NOM	m	s	0.26	6.35	0.05	3.24		1	2	1	6	6	VCVCVV	VCVCYV	0	0	4	5	a-ka-sja	3	V-CV-CYV	aicaca	ajsaka	a-ca-cia	NOM	64	17	2.6	2	acacia	1
acacias	akasja	acacia	NOM	m	p	0.26	6.35	0.21	3.11		1	2	0	7	6	VCVCVVC	VCVCYV	0	0	0	5	a-ka-sja	3	V-CV-CYV	saicaca	ajsaka	a-ca-cias	NOM	64	17	2.7	2	acacia	1
acadien	akadj5	acadien	ADJ	m	s	0.01	0.00	0.01	0.00		2	4	1	7	6	VCVCVVC	VCVCYV	0	1	7	6	a-ka-dj5	3	V-CV-CYV	neidaca	5jdaka	a-ca-dien	ADJ,NOM	71	21	2.45	2.4	acadien	1
acadien	akadj5	acadien	NOM	m	s	0.16	0.07	0.14	0.00		2	4	1	7	6	VCVCVVC	VCVCYV	0	1	7	6	a-ka-dj5	3	V-CV-CYV	neidaca	5jdaka	a-ca-dien	ADJ,NOM	75	16	2.45	2.4	acadien	1
acadienne	akadjEn	acadienne	NOM	f	s	0.03	0.00	0.03	0.00		1	2	1	9	7	VCVCVVCCV	VCVCYVC	0	0	8	6	a-ka-djEn	3	V-CV-CYVC	enneidaca	nEjdaka	a-ca-dien-ne	NOM	54	24	2.6	2.5	acadienne	1
acadiens	akadj5	acadien	NOM	m	p	0.16	0.07	0.01	0.07		1	4	0	8	6	VCVCVVCC	VCVCYV	1	1	0	6	a-ka-dj5	3	V-CV-CYV	sneidaca	5jdaka	a-ca-diens	NOM	75	16	2.45	2.4	acadien	1
académicien	akademisj5	académicien	NOM	m	s	0.35	1.55	0.14	0.74		1	2	1	11	10	VCVCVCVCVVC	VCVCVCVCYV	0	0	8	8	a-ka-de-mi-sj5	5	V-CV-CV-CV-CYV	neicimédaca	5jsimedaka	a-ca-dé-mi-cien	NOM	100	21	4.2	4.25	académicien	1
académiciens	akademisj5	académicien	NOM	m	p	0.35	1.55	0.21	0.81		1	2	0	12	10	VCVCVCVCVVCC	VCVCVCVCYV	0	0	0	8	a-ka-de-mi-sj5	5	V-CV-CV-CV-CYV	sneicimédaca	5jsimedaka	a-ca-dé-mi-ciens	NOM	100	21	4.35	4.25	académicien	1
académie	akademi	académie	NOM	f	s	10.03	9.46	9.91	8.31		1	2	1	8	7	VCVCVCVV	VCVCVCV	0	0	8	7	a-ka-de-mi	4	V-CV-CV-CV	eimédaca	imedaka	a-ca-dé-mie	NOM	100	22	2.9	2.75	académie	1
